0,1,2,3,4,5,6,7
Engro Holdings,164.52,164.8,164.8,162.51,163.0,-1.52,"507,019"
Escorts Bank,6.16,6.0,6.05,6.0,6.0,-0.16,"54,000"
F. Nat.Equities,3.08,3.1,3.1,3.03,3.03,-0.05,"122,854"
F.Credit & Inv,7.99,7.41,7.43,7.4,7.43,-0.56,"4,000"
First Dawood Prop,2.21,2.2,2.28,2.2,2.28,0.07,"2,003"
Intermarket Sec.XD,53.84,53.83,54.99,52.6,53.0,-0.84,"3,810"
Invest Bank,1.37,1.33,1.4,1.33,1.4,0.03,13
Ist.Capital Sec,1.45,1.38,1.45,1.32,1.45,,"196,522"
Jah.Sidd. Co.,16.55,16.59,16.89,16.31,16.7,0.15,"33,788"
JS Global Cap.,104.75,109.0,109.0,104.0,104.0,-0.75,150
JS Investments,22.00,21.5,21.5,21.5,21.5,-0.5,100
LSE Capital Ltd.,5.05,5.14,5.14,4.5,4.98,-0.07,"20,200"
LSE Fin. Services,19.99,20.95,21.67,20.95,21.67,1.68,"61,728"
LSE Ventures Ltd,10.01,9.58,9.58,9.58,9.58,-0.43,1
MCB Inv MGT,93.00,93.9,93.9,93.9,93.9,0.9,1
Next Capital,7.83,7.52,7.99,7.52,7.99,0.16,"1,201"
Pak Stock Exchange,25.62,25.89,25.89,25.3,25.5,-0.12,"259,689"
Pervez Ahmed Co,1.07,1.15,1.15,1.07,1.08,0.01,"89,800"
PIA Holding Company,14.80,16.07,16.22,15.5,15.96,1.16,"5,084,913"
PIA Holding CompanyB,"9,359.63",10295.59,10295.59,10295.59,10295.59,935.96,32
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,3.10,3.25,3.25,3.08,3.12,0.02,"6,125"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf LeasingXD,21.43,21.97,21.97,20.01,20.01,-1.42,18
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata (Pak) Ltd.,"1,569.99",1569.99,1578.89,1506.0,1569.0,-0.99,161
Leather Up Ltd.,27.53,25.51,27.0,25.51,27.0,-0.53,415
Service Global,76.04,77.0,77.0,76.5,76.5,0.46,"3,953"
Service Ind.Ltd,998.88,999.0,1020.0,990.0,1015.0,16.12,"67,498"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Hospitality,130.08,128.01,132.32,128.01,132.32,2.24,103
AL-Khair Gadoon,44.05,48.45,48.45,48.45,48.45,4.4,3
Diamond Ind.,25.13,22.62,26.23,22.62,26.23,1.1,945
ECOPACK Ltd,34.30,35.5,35.5,33.62,34.01,-0.29,"1,813"
Gammon Pak,25.73,25.01,26.49,24.6,25.2,-0.53,"73,801"
Mandviwala,17.19,18.35,18.35,17.2,18.0,0.81,"1,455"
Olympia Mills,50.66,50.7,55.0,50.7,54.45,3.79,"2,108"
Pakistan Alumin,108.30,110.94,110.98,108.0,108.0,-0.3,"23,022"
Shifa Int.Hospital,451.22,452.0,452.0,445.0,447.01,-4.21,"2,503"
Siddiqsons Tin,5.16,5.3,5.3,5.06,5.2,0.04,"66,189"
Tri-Pack Films,118.21,119.52,122.0,119.1,122.0,3.79,302
UDL Int.Ltd.,7.90,8.0,8.22,7.6,7.6,-0.3,"3,530"
United Brands,22.87,22.9,25.0,22.9,24.9,2.03,"145,513"
United DistributorXD,61.80,60.45,61.97,60.45,60.52,-1.28,13
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.F.Modaraba,8.34,8.99,9.34,8.97,9.3,0.96,"49,857"
Elite Cap.Mod,20.00,18.07,19.95,18.07,19.95,-0.05,110
Equity Modaraba,3.10,3.0,3.0,3.0,3.0,-0.1,"5,000"
F.Treet Manuf,3.92,4.18,4.28,4.18,4.28,0.36,"3,200"
Habib Modaraba,21.11,21.21,21.5,21.21,21.5,0.39,265
I.B.L.Modarab,3.00,3.19,3.5,3.19,3.45,0.45,"20,500"
Imrooz Modaraba,187.88,0,0,0,0,,100
Paramount Mod,6.91,7.5,7.79,7.5,7.79,0.88,501
Popular Islamic,13.78,15.03,15.03,13.76,13.76,-0.02,15
Prud Mod.1st,1.99,2.0,2.0,1.92,1.95,-0.04,"7,276"
Punjab Mod,2.77,2.92,2.92,2.8,2.89,0.12,"7,002"
Sindh Modaraba,11.05,11.05,11.05,11.05,11.05,,176
Tri-Star 1st Mod.,12.40,12.4,12.4,12.1,12.1,-0.3,11
Trust Modaraba,4.79,4.89,4.89,4.66,4.66,-0.13,"2,106"
Unicap Modaraba,2.94,2.83,2.94,2.81,2.94,,"2,305"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Energies Ltd.,652.96,652.1,655.0,648.0,652.0,-0.96,"555,586"
Oil & Gas DevXD,218.66,217.9,217.9,213.99,215.0,-3.66,"2,799,633"
Pak Oilfields,540.47,536.07,541.89,536.0,537.5,-2.97,"46,259"
Pak PetroleumXD,168.03,169.99,170.9,167.11,168.0,-0.03,"4,200,395"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum,451.53,451.53,454.9,451.53,451.53,,"2,653"
Burshane LPG,28.48,28.01,28.01,27.25,27.36,-1.12,"21,102"
Hascol Petrol,10.12,10.1,10.15,9.98,10.06,-0.06,"1,704,394"
HI-Tech Lub.,39.60,39.6,39.9,39.01,39.45,-0.15,"23,792"
Oilboy Energy,9.23,9.25,9.26,9.0,9.16,-0.07,"16,447"
P.S.O.,386.10,388.11,388.11,379.6,381.35,-4.75,"1,342,265"
Sui North GasXD,122.97,123.0,123.5,120.65,122.2,-0.77,"2,709,176"
Sui South Gas,32.79,36.07,36.07,34.9,35.2,2.41,"14,569,999"
Wafi Energy PakXD,165.97,166.0,171.1,166.0,170.49,4.52,"53,674"
